Dataset,Task,Metric,Activation,Avg_Score,Max_Score,Min_Score,Epochs_As_Best,Overall_Winner,Leader_Changes
cube_root,Regression,R2,ReLU6,0.9806641705036163,0.9964550733566284,-0.007886648178100586,11,HT,69
cube_root,Regression,R2,Sw,0.9737881878614426,0.9959602952003479,0.00041961669921875,0,HT,69
cube_root,Regression,R2,LgS,0.9788777775764466,0.9960916638374329,0.013020694255828857,0,HT,69
cube_root,Regression,R2,Si,0.9008533052206039,0.9958293437957764,-0.09048271179199219,0,HT,69
cube_root,Regression,R2,Mish,0.9670427734851837,0.9961828589439392,0.034284770488739014,0,HT,69
cube_root,Regression,R2,U,-3309.203931796789,0.015951991081237793,-1654601.375,0,HT,69
reciprocal,Regression,R2,E,0.8712400605678559,0.9932769536972046,-0.08870244026184082,0,G,19
reciprocal,Regression,R2,XER,0.9294722466468811,0.9943047761917114,-0.5435235500335693,50,G,19
reciprocal,Regression,R2,R,0.8527967002391815,0.992018461227417,-0.15945446491241455,0,G,19
reciprocal,Regression,R2,LR,0.8102352398633957,0.9904112815856934,-0.027309656143188477,0,G,19
reciprocal,Regression,R2,PR,0.8616837911605835,0.9761572480201721,-0.016834616661071777,0,G,19
reciprocal,Regression,R2,RR,0.7449945175647735,0.9337465763092041,-0.047794342041015625,0,G,19
reciprocal,Regression,R2,G,0.9221008480787277,0.9960111379623413,-0.0976712703704834,397,G,19
reciprocal,Regression,R2,S,0.9159990375041962,0.9936697483062744,-0.024702787399291992,0,G,19
reciprocal,Regression,R2,C,0.9345512294769287,0.9942336678504944,-0.02643609046936035,50,G,19
reciprocal,Regression,R2,ELU,0.9007996042966843,0.9909318685531616,-0.0899742841720581,0,G,19
reciprocal,Regression,R2,SELU,0.938878131389618,0.9942817687988281,0.033083319664001465,3,G,19
reciprocal,Regression,R2,T,0.8888505686521531,0.9940005540847778,-0.02499854564666748,0,G,19
reciprocal,Regression,R2,HT,0.8988734052181244,0.9922722578048706,-0.00873422622680664,0,G,19
reciprocal,Regression,R2,ST,0.746712156534195,0.9913246631622314,-0.07116234302520752,0,G,19
reciprocal,Regression,R2,SS,-3.335607051849365e-05,5.960464477539063e-08,-0.0036667585372924805,0,G,19
reciprocal,Regression,R2,HS,0.33968553578853605,0.5824264287948608,-4.782341957092285,0,G,19
reciprocal,Regression,R2,ReLU6,0.9023660950660706,0.9948487281799316,-0.03786468505859375,0,G,19
reciprocal,Regression,R2,Sw,0.8971383829116821,0.9944803714752197,-0.005402088165283203,0,G,19
reciprocal,Regression,R2,LgS,0.904360305428505,0.9950246214866638,-0.023322343826293945,0,G,19
reciprocal,Regression,R2,Si,0.2780063766241074,0.3014568090438843,-0.004830479621887207,0,G,19
reciprocal,Regression,R2,Mish,0.9401282695531845,0.9942137598991394,0.01444387435913086,0,G,19
reciprocal,Regression,R2,U,0.715145654797554,0.9941775798797607,-0.003935337066650391,0,G,19
abs,Regression,R2,E,0.9437402960062027,0.9949928522109985,-2.756404161453247,7,SELU,56
abs,Regression,R2,XER,0.9524050664901733,0.9951618313789368,-4.640781879425049,164,SELU,56
abs,Regression,R2,R,0.9036372973918915,0.9949535131454468,-2.4551172256469727,0,SELU,56
abs,Regression,R2,LR,0.9330267400741578,0.9949886798858643,-2.1826889514923096,2,SELU,56
abs,Regression,R2,PR,0.9057582508325577,0.9948749542236328,-4.408243179321289,0,SELU,56
abs,Regression,R2,RR,0.9086015124320984,0.9933955073356628,-2.0746066570281982,0,SELU,56
abs,Regression,R2,G,0.9465106147527694,0.9945955276489258,-2.655611038208008,4,SELU,56
abs,Regression,R2,S,0.925325312256813,0.9949354529380798,-2.9868345260620117,0,SELU,56
abs,Regression,R2,C,0.8526927618980408,0.9949384331703186,-3.7190871238708496,0,SELU,56
abs,Regression,R2,ELU,0.8957457154989242,0.9949053525924683,-3.33096981048584,0,SELU,56
abs,Regression,R2,SELU,0.961828737616539,0.9951352477073669,-2.5313408374786377,296,SELU,56
abs,Regression,R2,T,-0.05630745315551758,-2.1696090698242188e-05,-2.7914271354675293,0,SELU,56
abs,Regression,R2,HT,-0.08487825107574463,0.0,-3.8866114616394043,0,SELU,56
abs,Regression,R2,ST,0.6295376615524292,0.9951610565185547,-2.07989764213562,26,SELU,56
abs,Regression,R2,SS,-0.4714720392227173,-0.0007408857345581055,-2.560359477996826,0,SELU,56
abs,Regression,R2,HS,0.41449650597572324,0.5435833930969238,-2.024312973022461,1,SELU,56
abs,Regression,R2,ReLU6,0.921916808128357,0.9945116639137268,-2.3178627490997314,0,SELU,56
abs,Regression,R2,Sw,0.7457412118911744,0.9946794509887695,-4.593369960784912,0,SELU,56
abs,Regression,R2,LgS,0.913536333322525,0.9946724772453308,-2.1020467281341553,0,SELU,56
abs,Regression,R2,Si,0.03937417197227478,0.9496530294418335,-2.8907904624938965,0,SELU,56
abs,Regression,R2,Mish,0.9139150507450103,0.994733452796936,-3.021228790283203,0,SELU,56
abs,Regression,R2,U,0.6921166886091232,0.9780452847480774,-2.426835536956787,0,SELU,56
gaussian,Regression,R2,E,0.8836670932769776,0.914752721786499,-0.43120765686035156,2,XER,18
gaussian,Regression,R2,XER,0.7197069648504257,0.9171596169471741,-22.424293518066406,367,XER,18
gaussian,Regression,R2,R,0.8950675557851792,0.9161343574523926,-0.07889580726623535,0,XER,18
gaussian,Regression,R2,LR,0.8479745413064956,0.9146849513053894,-1.8005659580230713,6,XER,18
gaussian,Regression,R2,PR,0.8767690114974975,0.9156796336174011,-0.1339881420135498,36,XER,18
gaussian,Regression,R2,RR,0.7554529350996018,0.9036903381347656,-3.22874116897583,0,XER,18
gaussian,Regression,R2,G,0.8935149250030517,0.9140666723251343,-0.03452932834625244,1,XER,18
gaussian,Regression,R2,S,0.8895187646150589,0.9138898253440857,-0.05936229228973389,0,XER,18
gaussian,Regression,R2,C,0.8922534415721893,0.9140024781227112,-0.17465496063232422,5,XER,18
gaussian,Regression,R2,ELU,0.8608866027593612,0.9138023257255554,-2.130206823348999,0,XER,18
gaussian,Regression,R2,SELU,0.8832731193304062,0.9141069650650024,-2.0415380001068115,1,XER,18
gaussian,Regression,R2,T,0.8902374826669693,0.913255512714386,-0.448276162147522,0,XER,18
gaussian,Regression,R2,HT,0.8927002946138382,0.9151261448860168,-0.9619497060775757,3,XER,18
gaussian,Regression,R2,ST,0.8610105644464493,0.912977397441864,-1.4466829299926758,0,XER,18
gaussian,Regression,R2,SS,-0.008745445728302001,0.0,-0.5029829740524292,0,XER,18
gaussian,Regression,R2,HS,0.42097211933135986,0.6678398847579956,-2.1504461765289307,0,XER,18
